AccidentType,inckey,Fatalities,Injuries,TrackDamage,EquipmentDamage,HazmatCars,HazmatCarsDerailed,HazmatCarsReleasing,County,DisplayDate,DisplayTime,calendar,Fiscal,AccidentCause,RailroadCodes,RAILEQUIPMENT_TYPE,CauseGroup,CauseDiscipline,TYPE_OF_TRACK,StateName,latitude,longitude,GeoLocation
Derailments,2015:05:UP:0515SL009,0,0,11410,3943,0,0,0,JEFFERSON,5/21/2015 0:00,15:40,2015,2015,"T314,","UP,",1,"T3,","T,",INDUSTRY,Missouri,38.259675,-90.375575,"Missouri
(38.259675, -90.375575)"
Side collision,2013:07:BNSF:CH0713114,0,0,1400,23024,0,0,0,KNOX,7/29/2013 0:00,22:25,2013,2013,"M408,","BNSF,",7,"M4,","M,",YARD,Illinois,40.92294,-90.37445,"Illinois
(40.92294, -90.37445)"
Side collision,2013:08:BNSF:CH0813101,0,0,0,36998,0,0,0,KNOX,8/2/2013 0:00,5:00,2013,2013,"M408,","BNSF,",7,"M4,","M,",YARD,Illinois,40.92294,-90.37445,"Illinois
(40.92294, -90.37445)"
Derailments,2013:07:UP:0713SL014,0,0,10978,8444,0,0,0,JEFFERSON,7/24/2013 0:00,3:45,2013,2013,"T399,","BNSF,UP,",1,"T3,","T,",INDUSTRY,Missouri,38.231383,-90.373732,"Missouri
(38.231383, -90.373732)"
Derailments,2013:12:UP:1213SL005,0,0,2350,18960,0,0,0,JEFFERSON,12/5/2013 0:00,20:20,2013,2014,"T202,","UP,",7,"T2,","T,",INDUSTRY,Missouri,38.266667,-90.373616,"Missouri
(38.266667, -90.373616)"
Derailments,2015:08:BNSF:CH0815100,0,0,500,15900,0,0,0,KNOX,8/1/2015 0:00,2:45,2015,2015,"H312,","BNSF,",NA,"H3,","H,",YARD,Illinois,40.932983,-90.371972,"Illinois
(40.932983, -90.371972)"
Derailments,2016:08:BNSF:CH0816119,0,0,80718,88114,0,0,0,KNOX,8/28/2016 0:00,16:52,2016,2016,"S011,","BNSF,",1,"S0,","S,",YARD,Illinois,40.933139,-90.371463,"Illinois
(40.933139, -90.371463)"
Derailments,2016:06:BNSF:CH0616112,0,0,15000,41148,0,0,0,KNOX,6/14/2016 0:00,1:50,2016,2016,"H607,H702,","BNSF,",7,"H6,H7,","H,",YARD,Illinois,40.934728,-90.369875,"Illinois
(40.934728, -90.369875)"
Other impacts,2011:12:IC:731396,0,0,25,14500,16,2,0,ST CHARLES,12/29/2011 0:00,24:15:00,2011,2012,"H302,","IC,",7,"H3,","H,",YARD,Louisiana,29.9554,-90.3694,"Louisiana
(29.9554, -90.3694)"
Other events,2015:01:BNSF:CH0115113,0,0,19081,250,0,0,0,KNOX,1/17/2015 0:00,6:50,2015,2015,"H503,","BNSF,",7,"H5,","H,",MAIN,Illinois,40.94035,-90.36828,"Illinois
(40.94035, -90.36828)"
Derailments,2011:11:BNSF:CH1111101,0,0,48000,43973,11,1,0,KNOX,11/3/2011 0:00,22:45,2011,2012,"E79L,","BNSF,",7,"E7,","E,",YARD,Illinois,40.936198,-90.367701,"Illinois
(40.936198, -90.367701)"
Highway-rail impact,2015:10:BNSF:CH1015201,0,0,29345,0,0,0,0,KNOX,10/16/2015 0:00,3:45,2015,2016,"M302,","BNSF,",8,"M3,","M,",YARD,Illinois,40.93746,-90.367295,"Illinois
(40.93746, -90.367295)"
Raking collision,2014:11:BNSF:CH1114108,0,0,0,20500,0,0,0,KNOX,11/12/2014 0:00,13:15,2014,2015,"M408,","BNSF,",17,"M4,","M,",YARD,Illinois,40.938033,-90.36641,"Illinois
(40.938033, -90.36641)"
Derailments,2011:12:BNSF:CH1211119,0,0,750,9225,0,0,0,KNOX,12/23/2011 0:00,1:40,2011,2012,"H307,H303,","BNSF,",8,"H3,","H,",YARD,Illinois,40.939136,-90.365226,"Illinois
(40.939136, -90.365226)"
Other impacts,2012:02:BNSF:CH0212106,0,0,0,14430,2,2,0,KNOX,2/12/2012 0:00,5:47,2012,2012,"S016,","BNSF,",7,"S0,","S,",YARD,Illinois,40.939136,-90.365226,"Illinois
(40.939136, -90.365226)"
Other impacts,2013:02:BNSF:CH0213112,0,0,0,39781,1,1,1,KNOX,2/27/2013 0:00,3:50,2013,2013,"M407,","BNSF,",7,"M4,","M,",YARD,Illinois,40.939138,-90.365223,"Illinois
(40.939138, -90.365223)"
Raking collision,2013:05:BNSF:CH0513106,0,0,0,32000,0,0,0,KNOX,5/11/2013 0:00,9:18,2013,2013,"M407,","BNSF,",7,"M4,","M,",YARD,Illinois,40.939138,-90.365223,"Illinois
(40.939138, -90.365223)"
Derailments,2014:01:BNSF:CH0114101,0,0,18000,200,9,0,0,KNOX,1/5/2014 0:00,14:30,2014,2014,"M101,","BNSF,",7,"M1,","M,",YARD,Illinois,40.939138,-90.365223,"Illinois
(40.939138, -90.365223)"
Other events,2014:02:BNSF:CH0214110,0,0,500,31551,0,0,0,KNOX,2/13/2014 0:00,8:05,2014,2014,"H318,H312,","BNSF,",1,"H3,","H,",YARD,Illinois,40.939138,-90.365223,"Illinois
(40.939138, -90.365223)"
Derailments,2014:03:BNSF:CH0314106,0,0,46046,21892,0,0,0,KNOX,3/14/2014 0:00,2:00,2014,2014,"T110,T001,","BNSF,",7,"T1,T0,","T,",YARD,Illinois,40.939138,-90.365223,"Illinois
(40.939138, -90.365223)"
Raking collision,2015:01:BNSF:CH0115103,0,0,250,17135,0,0,0,KNOX,1/4/2015 0:00,1:45,2015,2015,"M411,","BNSF,",7,"M4,","M,",YARD,Illinois,40.939138,-90.365223,"Illinois
(40.939138, -90.365223)"
Derailments,2011:06:BNSF:CH0611101,0,0,120000,18300,4,0,0,KNOX,6/3/2011 0:00,17:26,2011,2011,"T314,","BNSF,",1,"T3,","T,",YARD,Illinois,40.939138,-90.3652,"Illinois
(40.939138, -90.3652)"
Derailments,2012:07:BNSF:CH0712105,0,0,255000,234460,0,0,0,KNOX,7/5/2012 0:00,16:45,2012,2012,"M101,","BNSF,",1,"M1,","M,",YARD,Illinois,40.94367,-90.364353,"Illinois
(40.94367, -90.364353)"
Other impacts,2012:06:BNSF:CH0612100,0,0,0,24879,0,0,0,KNOX,6/4/2012 0:00,1:00,2012,2012,"H318,","BNSF,",76,"H3,","H,",YARD,Illinois,40.943713,-90.36419,"Illinois
(40.943713, -90.36419)"
Derailments,2013:05:BNSF:CH0513109,0,0,0,28540,0,0,0,KNOX,5/17/2013 0:00,3:00,2013,2013,"M411,M407,","BNSF,",6,"M4,","M,",YARD,Illinois,40.944823,-90.363184,"Illinois
(40.944823, -90.363184)"
Other impacts,2014:05:BNSF:CH0514108,0,0,0,39500,0,0,0,KNOX,5/16/2014 0:00,17:30,2014,2014,"M407,","BNSF,",7,"M4,","M,",YARD,Illinois,40.944823,-90.363184,"Illinois
(40.944823, -90.363184)"
Derailments,2015:01:BNSF:CH0115124,0,0,4250,75620,4,0,0,KNOX,1/27/2015 0:00,3:10,2015,2015,"T314,E46C,","BNSF,",7,"T3,E4,","T,E,",YARD,Illinois,40.944823,-90.363184,"Illinois
(40.944823, -90.363184)"
Other events,2012:03:BNSF:CH0312108,0,0,0,49510,0,0,0,KNOX,3/4/2012 0:00,20:00,2012,2012,"M411,","BNSF,",7,"M4,","M,",YARD,Illinois,40.944784,-90.363108,"Illinois
(40.944784, -90.363108)"
Derailments,2011:07:BNSF:CH0711109,0,0,350500,1600,0,0,0,KNOX,7/20/2011 0:00,17:31,2011,2011,"T399,","BNSF,",1,"T3,","T,",YARD,Illinois,40.944478,-90.3631,"Illinois
(40.944478, -90.3631)"
Derailments,2014:02:BNSF:CH0214115,0,0,0,42063,0,0,0,KNOX,2/21/2014 0:00,2:50,2014,2014,"H207,","BNSF,",8,"H2,","H,",YARD,Illinois,40.945955,-90.362021,"Illinois
(40.945955, -90.362021)"
Derailments,2016:01:BNSF:CH0116113,0,0,402837,236312,0,0,0,KNOX,1/25/2016 0:00,6:30,2016,2016,"E71L,","BNSF,",1,"E7,","E,",MAIN,Illinois,40.938941,-90.361389,"Illinois
(40.938941, -90.361389)"
Side collision,2014:04:BNSF:CH0414108,0,0,10000,98547,0,0,0,KNOX,4/20/2014 0:00,10:00,2014,2014,"M408,","BNSF,",67,"M4,","M,",YARD,Illinois,40.937284,-90.356882,"Illinois
(40.937284, -90.356882)"
Derailments,2014:01:BNSF:SF0114105,0,0,526000,121655,0,0,0,JEFFERSON,1/15/2014 0:00,19:10,2014,2014,"T199,","BNSF,",1,"T1,","T,",MAIN,Missouri,38.21171,-90.355681,"Missouri
(38.21171, -90.355681)"
Other events,2014:07:BNSF:CH0714105,0,0,25000,0,0,0,0,KNOX,7/28/2014 0:00,14:30,2014,2014,"H997,","BNSF,",9,"H9,","H,",MAIN,Illinois,40.958542,-90.349261,"Illinois
(40.958542, -90.349261)"
Derailments,2014:02:BNSF:CH0214107,0,0,34441,141900,0,0,0,KNOX,2/15/2014 0:00,13:40,2014,2014,"T202,","BNSF,",1,"T2,","T,",YARD,Illinois,40.933977,-90.347866,"Illinois
(40.933977, -90.347866)"
Derailments,2013:07:UP:0713SL015,0,0,12349,12134,0,0,0,JEFFERSON,7/25/2013 0:00,5:20,2013,2013,"T399,","BNSF,UP,",1,"T3,","T,",INDUSTRY,Missouri,38.231383,-90.346501,"Missouri
(38.231383, -90.346501)"
Derailments,2013:10:BNSF:CH1013116,0,0,125000,197981,0,0,0,KNOX,10/27/2013 0:00,6:00,2013,2014,"E39C,","BNSF,",7,"E3,","E,",YARD,Illinois,40.93315,-90.345612,"Illinois
(40.93315, -90.345612)"
Derailments,2011:07:RVPR:RVPR110701,0,0,0,15000,0,0,0,CARROLL,7/18/2011 0:00,9:00,2011,2011,"H310,","RVPR,",7,"H3,","H,",YARD,Illinois,42.237184,-90.3446,"Illinois
(42.237184, -90.3446)"
Highway-rail impact,2012:01:BNSF:GC0112203,0,0,23682,500,11,0,0,ST CHARLES,1/24/2012 0:00,16:50,2012,2012,"M304,","BNSF,",1,"M3,","M,",MAIN,Louisiana,29.914124,-90.344563,"Louisiana
(29.914124, -90.344563)"
Obstruction impact,2014:01:BNSF:GC0114119,0,0,0,12111,17,0,0,ST CHARLES,1/29/2014 0:00,18:00,2014,2014,"M404,","BNSF,",1,"M4,","M,",MAIN,Louisiana,29.914263,-90.34409,"Louisiana
(29.914263, -90.34409)"
Highway-rail impact,2013:06:WC:782952,1,0,24031,300,0,0,0,CLARK,6/18/2013 0:00,9:09,2013,2013,"M302,","WC,",1,"M3,","M,",MAIN,Wisconsin,44.786076,-90.34195,"Wisconsin
(44.786076, -90.34195)"
Derailments,2013:03:BNSF:SF0313111,0,0,95000,44880,8,1,1,ST LOUIS,3/18/2013 0:00,20:00,2013,2013,"T102,","BNSF,",1,"T1,","T,",MAIN,Missouri,38.51285,-90.340778,"Missouri
(38.51285, -90.340778)"
Derailments,2014:10:BNSF:SF1014104,0,0,43500,90000,6,0,0,JEFFERSON,10/20/2014 0:00,18:40,2014,2015,"M202,","BNSF,",1,"M2,","M,",MAIN,Missouri,38.458662,-90.337137,"Missouri
(38.458662, -90.337137)"
Fire/violent rupture,2015:09:UP:0915LK024,0,0,0,13580,0,0,0,CRITTENDEN,9/12/2015 0:00,3:00,2015,2015,"E99L,","UP,",1,"E9,","E,",MAIN,Arkansas,35.22662,-90.334282,"Arkansas
(35.22662, -90.334282)"
Fire/violent rupture,2016:04:UP:0416SL001,0,0,0,31844,0,0,0,BUTLER,4/1/2016 0:00,12:30,2016,2016,"E74L,","UP,",1,"E7,","E,",MAIN,Missouri,36.760543,-90.333977,"Missouri
(36.760543, -90.333977)"
Side collision,2013:10:IMTZ:INDUSTRY,0,0,0,23574,4,1,0,ST CHARLES,10/26/2013 0:00,2:20,2013,2014,"H310,H318,","IC,",76,"H3,","H,",INDUSTRY,Louisiana,29.948097,-90.328974,"Louisiana
(29.948097, -90.328974)"
Derailments,2015:02:BNSF:SF0215105,0,0,5500,5924,0,0,0,ST CHARLES,2/15/2015 0:00,14:25,2015,2015,"H702,","BNSF,",1,"H7,","H,",SIDING,Missouri,38.904267,-90.328902,"Missouri
(38.904267, -90.328902)"
Derailments,2016:04:BNSF:CH0416107,0,0,0,25126,0,0,0,KNOX,4/17/2016 0:00,5:44,2016,2016,"E27C,","BNSF,",1,"E2,","E,",MAIN,Illinois,40.980357,-90.327218,"Illinois
(40.980357, -90.327218)"
Derailments,2011:07:BNSF:SF0711108,0,0,2000,11890,0,0,0,ST LOUIS,7/13/2011 0:00,15:37,2011,2011,"T110,","BNSF,",7,"T1,","T,",YARD,Missouri,38.597829,-90.321972,"Missouri
(38.597829, -90.321972)"
Derailments,2011:06:BNSF:SF0611116,0,0,3800,14500,19,0,0,ST LOUIS,6/25/2011 0:00,22:10,2011,2011,"T399,","BNSF,",1,"T3,","T,",MAIN,Missouri,38.592527,-90.3203,"Missouri
(38.592527, -90.3203)"
Derailments,2014:04:BNSF:SF0414113,0,0,95000,10000,15,0,0,ST LOUIS,4/13/2014 0:00,2:10,2014,2014,"H508,","BNSF,",1,"H5,","H,",YARD,Missouri,38.600173,-90.315849,"Missouri
(38.600173, -90.315849)"
Derailments,2014:01:BNSF:SF0114115,0,0,235000,125842,0,0,0,ST LOUIS,1/22/2014 0:00,1:50,2014,2014,"H601,","BNSF,",7,"H6,","H,",YARD,Missouri,38.600265,-90.315443,"Missouri
(38.600265, -90.315443)"
Derailments,2015:05:BNSF:SF0515111,0,0,30000,6000,0,0,0,ST LOUIS CITY,5/25/2015 0:00,13:28,2015,2015,"T314,T102,","BNSF,",1,"T3,T1,","T,",YARD,Missouri,38.600234,-90.315425,"Missouri
(38.600234, -90.315425)"
Derailments,2011:11:BNSF:SF1111116,0,0,2500,27600,13,0,0,ST LOUIS,11/28/2011 0:00,2:35,2011,2012,"H704,E41C,","BNSF,",1,"H7,E4,","H,E,",YARD,Missouri,38.600654,-90.315188,"Missouri
(38.600654, -90.315188)"
Derailments,2014:03:BNSF:SF0314115,0,0,488000,37473,1,1,0,ST LOUIS,3/29/2014 0:00,11:50,2014,2014,"H601,","BNSF,",7,"H6,","H,",YARD,Missouri,38.599,-90.315,"Missouri
(38.599, -90.315)"
Derailments,2011:12:BNSF:SF1211118,0,0,3000,18527,0,0,0,ST LOUIS,12/21/2011 0:00,19:58,2011,2012,"T103,","BNSF,",1,"T1,","T,",YARD,Missouri,38.600805,-90.314234,"Missouri
(38.600805, -90.314234)"
Derailments,2015:12:BNSF:SF1215112,0,0,4500,8862,0,0,0,ST LOUIS CITY,12/24/2015 0:00,18:00,2015,2016,"H312,","BNSF,",7,"H3,","H,",YARD,Missouri,38.601429,-90.31328,"Missouri
(38.601429, -90.31328)"
Derailments,2016:06:BNSF:SF0616100,0,0,153779,35058,0,0,0,ST LOUIS CITY,6/4/2016 0:00,4:11,2016,2016,"T403,","BNSF,",1,"T4,","T,",YARD,Missouri,38.602472,-90.312387,"Missouri
(38.602472, -90.312387)"
Highway-rail impact,2012:01:IC:733900,0,0,25,16571,0,0,0,HINDS,1/26/2012 0:00,11:47,2012,2012,"M302,","ATK,IC,",2,"M3,","M,",MAIN,Mississippi,32.075725,-90.311266,"Mississippi
(32.075725, -90.311266)"
Derailments,2016:07:BNSF:SF0716100,0,0,120000,14940,0,0,0,ST LOUIS CITY,7/3/2016 0:00,20:15,2016,2016,"T210,","BNSF,",1,"T2,","T,",YARD,Missouri,38.605448,-90.310731,"Missouri
(38.605448, -90.310731)"
Derailments,2016:07:KJRY:07072016,0,0,15000,12500,0,0,0,FULTON,7/7/2016 0:00,14:15,2016,2016,"T110,","KJRY,",1,"T1,","T,",MAIN,Illinois,40.479335,-90.310393,"Illinois
(40.479335, -90.310393)"
Derailments,2012:10:XADG:INDUSTRY,0,0,28326,67915,0,0,0,ST CHARLES,10/7/2012 0:00,24:25:00,2012,2013,"T110,","UP,",1,"T1,","T,",INDUSTRY,Louisiana,29.933345,-90.31023,"Louisiana
(29.933345, -90.31023)"
Derailments,2015:02:BNSF:SF0215112,0,0,403685,103808,7,0,0,ST LOUIS CITY,2/28/2015 0:00,21:30,2015,2015,"H504,","BNSF,",1,"H5,","H,",YARD,Missouri,38.605579,-90.310046,"Missouri
(38.605579, -90.310046)"
Side collision,2015:10:XADG:INDUSTRY,0,0,2286,13377,0,0,0,ST CHARLES,10/10/2015 0:00,18:50,2015,2016,"H306,","UP,",616,"H3,","H,",YARD,Louisiana,29.933887,-90.307682,"Louisiana
(29.933887, -90.307682)"
Derailments,2013:11:BNSF:SF1113103,0,0,90000,100,0,0,0,ST LOUIS,11/13/2013 0:00,9:00,2013,2014,"T221,","BNSF,",8,"T2,","T,",YARD,Missouri,38.611535,-90.304787,"Missouri
(38.611535, -90.304787)"
Derailments,2011:08:BNSF:SF0811119,0,0,167305,308926,0,0,0,ST LOUIS,8/23/2011 0:00,15:45,2011,2011,"T108,","BNSF,",1,"T1,","T,",YARD,Missouri,38.611942,-90.304539,"Missouri
(38.611942, -90.304539)"
Derailments,2013:10:XADG:INDUSTRY,0,0,91505,49261,0,0,0,ST CHARLES,10/20/2013 0:00,15:15,2013,2014,"T213,","UP,",1,"T2,","T,",INDUSTRY,Louisiana,29.934979,-90.301921,"Louisiana
(29.934979, -90.301921)"
Side collision,2013:11:CCRZ:INDUSTRY,0,0,0,74366,13,0,0,ST LOUIS CITY,11/13/2013 0:00,5:30,2013,2014,"H307,","BNSF,TRRA,",71,"H3,","H,",YARD,Missouri,38.619844,-90.292219,"Missouri
(38.619844, -90.292219)"
Derailments,2012:12:BNSF:SF1212104,0,0,153000,32438,0,0,0,ST LOUIS,12/20/2012 0:00,21:29,2012,2013,"T207,","BNSF,",1,"T2,","T,",YARD,Missouri,38.62017,-90.29146,"Missouri
(38.62017, -90.29146)"
Derailments,2016:05:UP:0516LK028,0,0,8000,10817,0,0,0,CRITTENDEN,5/28/2016 0:00,15:00,2016,2016,"H702,","UP,",7,"H7,","H,",YARD,Arkansas,35.20704,-90.28777,"Arkansas
(35.20704, -90.28777)"
Derailments,2014:06:UP:0614LK009,0,0,9281,15000,0,0,0,CRITTENDEN,6/6/2014 0:00,7:50,2014,2014,"H702,","UP,",8,"H7,","H,",YARD,Arkansas,35.206641,-90.286827,"Arkansas
(35.206641, -90.286827)"
Highway-rail impact,2016:07:IC:895343,0,3,25,46031,0,0,0,TALLAHATCHIE,7/21/2016 0:00,8:58,2016,2016,"M302,","ATK,IC,",2,"M3,","M,",MAIN,Mississippi,33.91824,-90.286125,"Mississippi
(33.91824, -90.286125)"
Highway-rail impact,2014:10:IC:830310,0,1,2794,9090,11,0,0,QUITMAN,10/22/2014 0:00,14:00,2014,2015,"M399,","IC,",1,"M3,","M,",MAIN,Mississippi,34.157147,-90.281133,"Mississippi
(34.157147, -90.281133)"
Highway-rail impact,2015:08:UP:0815SL007,0,0,0,17479,0,0,0,ST LOUIS,8/7/2015 0:00,24:40:00,2015,2015,"M304,","UP,",1,"M3,","M,",MAIN,Missouri,38.483756,-90.280795,"Missouri
(38.483756, -90.280795)"
Side collision,2012:06:DME:232290,0,0,264,19229,0,0,0,JACKSON,6/27/2012 0:00,16:30,2012,2012,"H018,","DME,",16,"H0,","H,",MAIN,Iowa,42.144798,-90.273318,"Iowa
(42.144798, -90.273318)"
Derailments,2013:03:IC:774494,0,0,100000,305470,0,0,0,JEFFERSON,3/25/2013 0:00,15:45,2013,2013,"E62C,","IC,",1,"E6,","E,",MAIN,Louisiana,29.979329,-90.266986,"Louisiana
(29.979329, -90.266986)"
Derailments,2011:09:UP:0911SL006,0,0,7692,5459,0,0,0,ST LOUIS,9/19/2011 0:00,2:25,2011,2011,"T314,","UP,",7,"T3,","T,",INDUSTRY,Missouri,38.549775,-90.266795,"Missouri
(38.549775, -90.266795)"
Derailments,2011:11:IC:726347,0,0,5750,143000,3,3,0,HINDS,11/1/2011 0:00,17:00,2011,2012,"H303,","IC,",1,"H3,","H,",INDUSTRY,Mississippi,32.16993,-90.26533,"Mississippi
(32.16993, -90.26533)"
Fire/violent rupture,2016:03:KCS:16031601,0,0,0,70000,0,0,0,MONROE,3/16/2016 0:00,17:30,2016,2016,"E99C,","KCS,",NA,"E9,","E,",MAIN,Mississippi,32.328085,-90.265206,"Mississippi
(32.328085, -90.265206)"
Derailments,2011:06:BNSF:SF0611101,0,0,215800,661579,0,0,0,ST CHARLES,6/1/2011 0:00,13:30,2011,2011,"T109,","BNSF,",1,"T1,","T,",MAIN,Missouri,38.881433,-90.259431,"Missouri
(38.881433, -90.259431)"
Derailments,2011:10:UP:1011LK023,0,0,21984,500,0,0,0,CRITTENDEN,10/25/2011 0:00,9:40,2011,2012,"H704,","UP,",1,"H7,","H,",YARD,Arkansas,35.196277,-90.256601,"Arkansas
(35.196277, -90.256601)"
Derailments,2012:04:IC:743635,0,0,3242,25000,36,0,0,HINDS,4/26/2012 0:00,18:00,2012,2012,"H503,","IC,",1,"H5,","H,",YARD,Mississippi,32.43917,-90.25528,"Mississippi
(32.43917, -90.25528)"
Derailments,2011:06:UP:0611LK016,0,0,5000,17495,0,0,0,CRITTENDEN,6/14/2011 0:00,23:00,2011,2011,"H303,","UP,",8,"H3,","H,",INDUSTRY,Arkansas,35.195957,-90.254311,"Arkansas
(35.195957, -90.254311)"
Derailments,2015:12:UP:1215LK004,0,0,5700,39725,0,0,0,CRITTENDEN,12/7/2015 0:00,21:30,2015,2016,"H306,","UP,",8,"H3,","H,",YARD,Arkansas,35.195934,-90.25415,"Arkansas
(35.195934, -90.25415)"
Highway-rail impact,2013:09:IC:791254,0,22,1504,125985,0,0,0,HOLMES,9/10/2013 0:00,9:30,2013,2013,"M302,","ATK,IC,",2,"M3,","M,",MAIN,Mississippi,33.137905,-90.253647,"Mississippi
(33.137905, -90.253647)"
Derailments,2013:10:BNSF:SF1013115,0,0,81500,26014,0,0,0,ST LOUIS,10/19/2013 0:00,23:30,2013,2014,"T201,","BNSF,",1,"T2,","T,",YARD,Missouri,38.62212,-90.25308,"Missouri
(38.62212, -90.25308)"
Other events,2014:05:IC:813328,0,0,13673,3455,0,0,0,TALLAHATCHIE,5/12/2014 0:00,17:20,2014,2014,"E62C,","IC,",1,"E6,","E,",MAIN,Mississippi,33.775665,-90.250878,"Mississippi
(33.775665, -90.250878)"
Derailments,2011:08:UP:0811LV004,0,0,68050,118951,19,0,0,JEFFERSON,8/4/2011 0:00,7:29,2011,2011,"T001,T102,","UP,",1,"T0,T1,","T,",MAIN,Louisiana,29.935084,-90.249687,"Louisiana
(29.935084, -90.249687)"
Derailments,2016:02:UP:0216CB014,0,0,57622,62555,1,0,0,CLINTON,2/21/2016 0:00,19:34,2016,2016,"T221,T212,","UP,",16,"T2,","T,",YARD,Iowa,41.806852,-90.248152,"Iowa
(41.806852, -90.248152)"
Derailments,2014:10:UP:1014CB016,0,0,118521,13538,0,0,0,CLINTON,10/29/2014 0:00,4:15,2014,2015,"T315,","UP,",1,"T3,","T,",YARD,Iowa,41.807474,-90.24656,"Iowa
(41.807474, -90.24656)"
Derailments,2015:12:UP:1215CB012,0,0,12424,155,0,0,0,CLINTON,12/20/2015 0:00,16:45,2015,2016,"T206,","UP,",7,"T2,","T,",YARD,Iowa,41.80746,-90.246472,"Iowa
(41.80746, -90.246472)"
Derailments,2013:01:BNSF:SF0113116,0,0,0,10156,0,0,0,ST LOUIS,1/21/2013 0:00,6:40,2013,2013,"M101,","BNSF,",7,"M1,","M,",INDUSTRY,Missouri,38.623845,-90.246334,"Missouri
(38.623845, -90.246334)"
Derailments,2014:05:UP:0514CB005,0,0,17668,2767,5,4,0,CLINTON,5/5/2014 0:00,20:50,2014,2014,"T110,","UP,",7,"T1,","T,",YARD,Iowa,41.807713,-90.245898,"Iowa
(41.807713, -90.245898)"
Raking collision,2014:02:BNSF:CH0214122,0,0,0,30976,0,0,0,KNOX,2/21/2014 0:00,18:40,2014,2014,"H307,H302,","BNSF,",58,"H3,","H,",YARD,Illinois,41.060745,-90.245775,"Illinois
(41.060745, -90.245775)"
Derailments,2015:07:XMSL:INDUSTRY,0,0,34000,13678,0,0,0,STE GENEVIEVE,7/13/2015 0:00,14:15,2015,2015,"T110,","UP,",1,"T1,","T,",INDUSTRY,Missouri,37.870728,-90.242838,"Missouri
(37.870728, -90.242838)"
Derailments,2015:02:UP:0215CB009,0,0,1728,32107,1,0,0,CLINTON,2/26/2015 0:00,11:30,2015,2015,"T220,","UP,",7,"T2,","T,",YARD,Iowa,41.808937,-90.24243,"Iowa
(41.808937, -90.24243)"
Highway-rail impact,2015:10:IC:867948,0,3,25,23607,0,0,0,LEFLORE,10/10/2015 0:00,8:56,2015,2016,"M302,","ATK,IC,",2,"M3,","M,",MAIN,Mississippi,33.767929,-90.242249,"Mississippi
(33.767929, -90.242249)"
Derailments,2015:03:IC:845121,0,0,2169692,442606,67,1,1,LEFLORE,3/30/2015 0:00,20:50,2015,2015,"T106,T001,","IC,",1,"T1,T0,","T,",MAIN,Mississippi,33.767667,-90.241079,"Mississippi
(33.767667, -90.241079)"
Derailments,2012:10:BNSF:SF1012115,0,0,14300,25000,20,0,0,ST LOUIS CITY,10/31/2012 0:00,21:30,2012,2013,"M410,","BNSF,UP,",1,"M4,","M,",MAIN,Missouri,38.628901,-90.240613,"Missouri
(38.628901, -90.240613)"
Derailments,2014:10:TRRA:14028,0,0,200000,6900,0,0,0,ST LOUIS CITY,10/21/2014 0:00,4:50,2014,2015,"H607,T101,","TRRA,",1,"H6,T1,","H,T,",INDUSTRY,Missouri,38.684,-90.238,"Missouri
(38.684, -90.238)"
Derailments,2011:06:BNSF:SF0611108,0,0,60000,50425,0,0,0,ST LOUIS,6/13/2011 0:00,21:19,2011,2011,"M204,","BNSF,UP,",4,"M2,","M,",YARD,Missouri,38.629672,-90.2376,"Missouri
(38.629672, -90.2376)"
Derailments,2012:09:DME:233677,0,0,3470,15700,10,2,0,CLINTON,9/27/2012 0:00,24:30:00,2012,2012,"T314,","DME,",1,"T3,","T,",YARD,Iowa,41.80811,-90.23547,"Iowa
(41.80811, -90.23547)"
Derailments,2012:11:UP:1112CB002,0,0,4326,13250,0,0,0,CLINTON,11/6/2012 0:00,16:15,2012,2013,"T314,","UP,",7,"T3,","T,",YARD,Iowa,41.811517,-90.23538,"Iowa
(41.811517, -90.23538)"
Derailments,2016:03:UP:0316CB007,0,0,268084,2201,0,0,0,CLINTON,3/27/2016 0:00,15:45,2016,2016,"T207,","UP,",7,"T2,","T,",YARD,Iowa,41.81155,-90.235174,"Iowa
(41.81155, -90.235174)"
Derailments,2014:02:BNSF:CH0214109,0,0,500,43121,0,0,0,KNOX,2/5/2014 0:00,23:15,2014,2014,"M101,","BNSF,",8,"M1,","M,",YARD,Illinois,40.5342,-90.235,"Illinois
(40.5342, -90.235)"
Derailments,2014:06:BNSF:CH0614101,0,0,3340,18716,4,3,0,KNOX,6/10/2014 0:00,12:01,2014,2014,"M409,","BNSF,",7,"M4,","M,",YARD,Illinois,40.5414,-90.234,"Illinois
(40.5414, -90.234)"
Derailments,2014:09:BNSF:SF0914108,0,0,30000,12671,0,0,0,ST CHARLES,9/19/2014 0:00,11:35,2014,2014,"E06C,","BNSF,",1,"E0,","E,",MAIN,Missouri,38.869613,-90.233742,"Missouri
(38.869613, -90.233742)"
Derailments,2012:08:UP:0812CB006,0,0,14887,4867,8,0,0,CLINTON,8/16/2012 0:00,14:15,2012,2012,"T111,","UP,",7,"T1,","T,",YARD,Iowa,41.812172,-90.233568,"Iowa
(41.812172, -90.233568)"
Derailments,2015:01:UP:0115CB009,0,0,30950,415,0,0,0,CLINTON,1/16/2015 0:00,21:35,2015,2015,"T199,","UP,",7,"T1,","T,",YARD,Iowa,41.812238,-90.233387,"Iowa
(41.812238, -90.233387)"
